,x,y
483,-102.89289056989521,20.59131598110057
484,-103.05886184621049,20.589471063589166
485,-103.7853460539442,20.719556782497065
487,-102.89368250247877,20.642682935339103
488,-102.8573162076149,20.649496194364573
489,-102.93513376292277,20.643052367240312
490,-103.03498268417479,20.643688641706756
491,-102.8642996427813,20.64842235124813
492,-102.86411712810028,20.64844297217476
493,-102.8897726741934,20.64493386180965
494,-102.90600841840681,20.642611200550505
495,-102.90619094862234,20.64259057058357
496,-102.8127861983749,20.64851800667323
497,-102.38467204811934,20.62808346393111
498,-103.13643501297788,20.614476970146928
499,-103.1367924459761,20.614482358166335
500,-103.19202349493284,20.61226023409484
501,-103.137832914808,20.6145644079384
502,-103.09143005234982,20.61006541173243
503,-103.13850700277753,20.614596229797993
504,-103.13729860614735,20.614509081296156
505,-103.13539390723203,20.614523735624108
506,-103.13742010136569,20.614595624097824
507,-103.13526587199489,20.614476500051275
508,-103.11885221130841,20.612674966944468
509,-103.42334004469683,20.665255888965266
510,-103.14525403412948,20.75406070051623
511,-103.14594938881093,20.754051063555345
512,-103.06871934777973,20.757479010097885
513,-103.1454240901524,20.75408086942781
514,-103.14542912332601,20.75405077426571
515,-104.00741852793897,20.744974962942578
516,-103.71163100115687,20.729082529602
517,-103.71119909583072,20.729072241739434
519,-103.63960746752761,20.729798584724946
520,-103.71067617394863,20.729086986470406
522,-103.70998580583732,20.729066519228894
523,-103.71119480831248,20.72909732857477
524,-103.7307385903416,20.728964571754283
525,-103.71049511950932,20.729116602496546
526,-103.71150389798893,20.729128879225332
527,-103.71151589061245,20.72905870840881
528,-103.28135814759844,20.65634694351838
529,-103.3219825539334,20.655328517447188
530,-104.06487229781719,20.754983615807138
531,-104.12921620273632,20.748811404527046
532,-103.1745839678317,20.679238079579267
533,-103.09534163603219,20.680246353392413
534,-103.09611057757584,20.680486635553237
535,-103.4607563310328,20.675609881328814
536,-103.17483918390921,20.679223606057334
537,-103.09610813866148,20.68050126276029
538,-104.25071918832614,20.71340933260147
539,-102.84132068869958,20.748447776499088
540,-102.84132336063125,20.748431612440864
542,-102.87309881085926,20.75599137432312
543,-103.11872428481269,20.612692025992494
544,-103.11929677724099,20.6126114859507
545,-103.01827709941938,20.612376899179512
547,-103.18131796574954,20.66233052891767
548,-103.18215626877509,20.662330999013324
549,-104.3040885533605,20.71916257113076
550,-102.92817648783152,20.757871341081582
552,-102.92713601899962,20.75787075346202
553,-103.17885790894444,20.765688534575705
554,-103.73051029552906,20.729249006745295
555,-103.89862772328219,20.738652067925074
556,-103.89741193223645,20.73866139751573
557,-103.89775188893742,20.738701735338882
558,-103.89722985252104,20.738711462702778
559,-103.89688988028558,20.738671124879627
560,-103.89880116582316,20.73865216736839
561,-103.89862946314467,20.738642033190942
562,-103.89897460836411,20.738652275851997
563,-103.89758709910541,20.738651462224908
564,-103.82822261905237,20.733498083829552
565,-103.89826011519537,20.73877227680775
566,-103.89930937654663,20.738722708837255
567,-103.8991272968312,20.738772783064604
568,-103.82856777980629,20.733508317450305
569,-103.8283969159901,20.733493165905795
570,-103.89808754258566,20.73876715999737
571,-103.75526333456422,20.741202861180483
572,-103.75699940662936,20.74119382991976
573,-103.75560504666215,20.7412331642695
574,-103.75648081886897,20.741183496855697
575,-103.75439444413489,20.741212389657758
576,-103.75473788056082,20.741232658012642
577,-103.75752142751125,20.74118409351556
578,-103.75751627006177,20.74121419771796
579,-103.75457475291886,20.741172350164536
580,-103.75422101712842,20.74121229021445
581,-103.75561365276764,20.741182990598837
582,-103.75630051008501,20.741223527308613
583,-103.70722702085824,20.741144903810635
584,-103.70596175247324,20.743472256986013
585,-103.69058756641154,20.741075067485255
586,-103.69006040361464,20.74111489905155
587,-103.75543161965568,20.74123305578589
588,-103.68779252394113,20.74322090045643
589,-103.70757559919917,20.741135077003428
590,-103.75491818934478,20.741192618519424
591,-103.73757124778272,20.741202626132655
592,-103.68832139553155,20.743171034156003
593,-103.69953061490278,20.741015012765573
594,-103.72197412630632,20.741123342692703
595,-103.68831196609828,20.743226216153435
596,-103.75490211115132,20.741215743609434
597,-103.69214607929683,20.743548448643015
598,-103.70661719905904,20.743460323788664
599,-103.68978823941244,20.741078249671208
600,-103.7216057104262,20.741161013627057
601,-103.39351563275717,20.733447205015402
602,-103.33298668701481,20.73826036976245
603,-103.40375739538267,20.734041749452334
604,-103.34288726571492,20.732302015843306
605,-103.33990742499398,20.73183708220211
606,-103.39407541797557,20.7334250020361
607,-103.34540368163677,20.73386685578879
608,-103.39417900193106,20.73347010409789
609,-103.41268268795592,20.73452938328939
610,-103.3944046558809,20.733450929619426
611,-103.86253408972411,20.712410777111927
612,-103.81784659186067,20.718105163281567
613,-103.86309789837448,20.712366054742777
614,-103.87518010927944,20.71584137246267
615,-103.86320137358858,20.712411165844873
616,-103.81774091074952,20.718072925568126
617,-103.83667333306528,20.714686483047572
618,-103.8175140761787,20.71809852770062
619,-103.86342157493368,20.712424156757436
620,-103.8756282636784,20.715822324548416
621,-103.86308352897453,20.712449704648122
622,-103.86397322008118,20.71245021994528
623,-103.87562383634976,20.715848062285424
624,-103.83531622479653,20.71352102552058
625,-103.86352727157933,20.712456394470877
626,-103.87473083639749,20.715866848030945
627,-103.81818574076836,20.71807318773686
628,-103.81729055045349,20.718104837830733
629,-103.86355048010205,20.712321278131824
630,-103.86366058854185,20.712327778108257
631,-102.90983319537901,20.729715043303216
633,-102.90523330967206,20.736615459870826
634,-102.91044722702401,20.7297175474666
635,-102.94613514640011,20.73238726588193
636,-102.90952839322084,20.729734696917635
637,-103.06567510107807,20.661091555662782
638,-103.0658777484535,20.661097558422657
639,-103.12952615888082,20.66410237367593
640,-103.05141890093556,20.664777060381404
641,-103.0658797057988,20.66108577891043
642,-102.96746315740228,20.663881663766805
643,-103.06527076946534,20.661073655866762
644,-103.13013310680002,20.664126276231826
645,-103.09923516864131,20.663790763540046
646,-102.52550206304917,20.780333080924592
647,-102.90398565739466,20.764391594910673
650,-102.74971161634171,20.771221244001893
651,-102.79585503734206,20.76913868409756
652,-102.7956041243173,20.76916703448156
654,-102.7033396985805,20.773203962821757
655,-102.70383680214617,20.77317574804227
656,-102.90704327928914,20.765354640097808
657,-102.7040759710992,20.773218617149713
658,-102.79610125895192,20.769138828742374
659,-102.93699206032714,20.76294961265606
660,-102.92899784273239,20.762354019544212
661,-102.9709536011576,20.76093531606473
662,-102.79627839870066,20.769108272524925
663,-103.48832232380121,20.671174664446543
664,-103.49561133785011,20.668208984656395
665,-103.51087018035008,20.66979836901915
666,-103.51862639407828,20.667083286373295
667,-103.48755544834424,20.671193857005612
668,-103.48119514803189,20.668662165906262
669,-103.53211604498804,20.66909875820376
670,-103.7650443443223,20.661555124218523
671,-103.76436556493788,20.661554735485577
672,-103.76457489214248,20.661571215954343
673,-102.93528704170035,20.628086890205196
674,-103.27459643615683,20.64943071546428
675,-103.27725682569887,20.648323504596767
676,-103.2681664947418,20.65193496020973
677,-103.36884498863802,20.65079341427894
678,-103.08902874697242,20.748783424795384
679,-103.0280782418719,20.75322179674271
680,-103.07445673072084,20.74547977335158
681,-103.09459366604521,20.750160316882646
682,-103.0890232788332,20.74881612356418
683,-103.05519729193131,20.741461974288335
684,-103.05597718528787,20.741447075872255
685,-103.05550897586697,20.741499970673527
686,-103.0566595376042,20.7414873323327
687,-103.05597274242477,20.741473654357257
688,-103.05176222862009,20.726871597423166
689,-103.051833283361,20.72689323086351
690,-103.09490808405049,20.750152831513404
691,-103.07457125095479,20.745434092710518
692,-103.09490663934325,20.75016146500088
693,-103.09467983584142,20.750178614451915
694,-103.00888269642502,20.754172203589025
695,-103.09483019413555,20.750172222959094
696,-103.0888233344584,20.748819287669534
697,-103.63638765006036,20.736134940750674
698,-103.48912033036896,20.671146431586457
699,-103.27733013294032,20.648318604753612
700,-103.0949848710169,20.750139912923245
701,-103.65242334115757,20.731844612772857
702,-103.21805829997759,20.66267773071867
704,-103.23607347300778,20.687897241508953
705,-103.2359761649848,20.687885706084856
706,-103.23042949893356,20.686039378286488
707,-103.12349971021628,20.68804599966225
708,-103.23314697771323,20.686999837947532
709,-103.23569478883215,20.687787935229313
710,-103.23314601457508,20.68700557853868
711,-103.11901206117375,20.685792605189523
712,-103.12350258409627,20.688028777888807
713,-103.21055497215394,20.679062869505184
714,-103.21085366925895,20.679057291639456
715,-103.22052756873313,20.68234158779878
716,-103.10414383333499,20.682479904404396
717,-103.14204813556206,20.682433437257146
